Cuanexo,Nombre,id_departamento
020016800,INSTITUTO PLATERILLO,02011
020016900,CANADA,02007
020017000,ESCUELA INFANTIL N° 04 AGUSTIN TATIN RAVELLO DE 08,02007
020017400,ESCUELA RELIGIOSA ISRAELITA ARGENTINA,02003
020017500,ESCUELA METROPOLITANA DE ALTOS ESTUDIOS,02014
020017700,JIN D DE 12 (ESC. PRIM. Nº 03 DE 12),02010
020017701,JIN D DE 12 (ESC. PRIM. Nº 09 DE 12),02010
020017702,JIN D DE 12 (ESC. PRIM. Nº 24 DE 12),02010
020017800,INSTITUTO LA CANDELARIA,02010
020018100,ALTE MANUEL BLANCO ENCALADA,02011
020018400,PATRIA GRANDE,02009
020018500,PRESBISTERO PROF. VICENTE MONTES CARBALLO,02009
020018600,CAJA NACIONAL DE AHORRO Y SEGURO,02009
020018700,JIN A DE 13 (ESC. PRIM. N° 14 DE 13),02009
020018701,JIN A DE 13 (ESC. PRIM. N° 19 DE 13),02009
020018702,JIN A DE 13 (ESC. PRIM. N° 12 DE 13),02009
020018800,JII N° 06 DE 09,02014
020018900,FIDEL LOPEZ,02014
020019000,COLEGIO SAN FRANCISCO JAVIER,02014
020019200,ESC. TEC. Nº 06 FERNANDO FADER DE 12,02007
020019300,SATURNINO SEGUROLA,02010
020019400,COLEGIO EYELEN,02007
020019600,EMILIO GIMENEZ ZAPIOLA,02010
020019800,INSTITUTO SCHILLER,02011
020019900,COLEGIO NUEVO PENSAR,02011
020020100,COLEGIO DEL ARCE,02014
020020200,GRAL. JUAN ANTONIO LAVALLEJA,02015
020020300,ESCUELA ARGENTINA,02015
020020600,INSTITUTO SIR THOMAS MALORY,02012
020020700,FRAY LUIS BELTRAN,02012
020020800,GAUCHOS DE GUEMES,02012
020020900,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,02015
020021200,JII N° 05 DE 09,02014
020021300,MARCOS SASTRE,02013
020021400,CARLOS JAVIER BENIELLI,02005
020021500,INSP. GRAL ALFREDO D. ZUNDA,02011
020021600,ENRIQUE G. PARKER,02011
020021700,INST. SAN MATEO,02013
020021800,NTRA. SRA. DE LA MISERICORDIA,02013
020021900,JORGE NEWBERY,02011
020022000,JIN A DE 12 (ESC. PRIM. Nº 04 DE 12),02011
020022001,JIN A DE 12 (ESC. PRIM. Nº 19 DE 12),02007
020022002,JIN A DE 12 (ESC. PRIM. Nº 01 DE 12),02007
020022003,JIN A DE 12 (ESC. PRIM. Nº 05 DE 12),02007
020022100,AUSTRALIA,02015
020022300,INST. SAN JOSE DE LA PALABRA DE DIOS,02015
020022400,INSTITUTO INTEGRAL MUNDO NUEVO,02015
020022500,COLEGIO URIARTE,02015
020023000,FELIX DE AZARA,02012
020023100,COLEGIO INGLES HORACIO WATSON,02012
020023200,INSTITUTO ARGENTINO DE ENSEÑANZA SUPERIOR (IADES),02001
020023300,ESC. DE PERIODISMO DEPORTIVO JOSE R. LOPEZ PAJARO,02001
020023400,INSTITUTO INCORPORADO COLECTIVIDAD HELENICA,02015
020023500,INSTITUTO GRIEGO ATENÁGORAS I,02015
020023600,DR. ALEJANDRO CARBO,02005
020023700,REPUBLICA DE TURQUIA,02012
020023900,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.Nº9 DE 9),02014
020023901,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.N°15DE 9),02013
020024000,ESCUELA DE ENFERMERIA DEL HTAL. ISRAELITA,02011
020024800,COLEG. LA ANUNCIATA,02002
020024900,JIN A DE 01 (ESC. PRIM. Nº 7 DE 01),02001
020024902,JIN A DE 01 (ESC. PRIM. Nº 8 DE 01),02001
020024903,JIN A DE 01 (ES. PRIM. Nº 9 DE 1),02001
020025000,NICOLAS AVELLANEDA,02001
020025100,NICOLAS RODRIGUEZ PEÑA,02001
020025300,INST. SAN JUDAS TADEO,02007
020025400,ISAAC BAKCHELLIAN,02008
020025500,JIC N° 08 DE 19,02008
020025600,IFTS N° 21 DE 08,02005
020026400,INST. VIRGEN DEL VALLE,02013
020026800,DR.ALFREDO LANARI,02008
020027300,ESC.SUPERIOR DE SEGURIDAD E HIGIENE INDUSTRIAL,02003
020027400,JII Nº 12 DE 21,02008
020027500,JIC N° 03 AMALIA FIGUEREDO DE 21,02008
020027600,INSTITUTO AMANECER,02009
020027800,JIN C DE 21 (ESC. PRIM. Nº 14 DE 21),02008
020027804,JIN C DE 21 (ESC. PRIM. N° 13 DE 21),02008
020027900,ARMADA ARGENTINA,02008
020028100,MONSEÑOR GUSTAVO FRANCESCHI,02013
020028300,IFTS N° 13 DE 08,02006
020028500,ESC. EDUC. MEDIA Nº 05 JUAN MANUEL FANGIO DE 21,02008
020028600,ESC. DE EDUC. MEDIA Nº 04 DE 21,02008
020028700,INSTITUTO EUSKAL-ECHEA,02003
020028900,FRANCISCO NARCISO LAPRIDA,02003
020029000,JIN B DE 03 (ESC. PRIM. N° 23 DE 3),02003
020029001,JIN B DE 03 (ESC. PRIM. Nº 9 DE 3),02003
020029002,JIN B DE 03 (ESC. PRIM. N° 15 DE 3),02003
020029300,INSTITUTO NUESTRA SEÑORA DEL PILAR,02002
020029400,JIN B EL JARDIN DEL ABASTO DE 02 (N°8),02003
020029401,JIN B JARDIN DEL ABASTO DE 02 (N°24),02003
020029500,INST.MERCEDES PACHECO,02002
020029600,FRAY MAMERTO ESQUIU,02004
020029700,CARLOS N. VERGARA,02004
020029800,PROVINCIA DE FORMOSA,02004
020029900,INSTITUTO POLITECNICO MODELO,02012
020030200,CNEL CARLOS TOMAS SOURIGUES,02007
020030300,INSTITUTO SAN ROBERTO,02007
020030400,ADA MARIA ELFLEIN,02010
020030500,INSTITUTO ESCUELA DE LA NUEVA EXPRESION,02005
020030700,INSTITUTO BETANIA,02005
020030900,JIN D DE 03 (ESC. PRIM. N° 04 DE 03),02001
020030902,JIN D DE 03 (ESC. PRIM. N° 03 DE 03),02001
020031100,MARIA SANCHEZ DE THOMPSON,02001
020031700,COLEGIO AULA XXI,02013
020031900,JOSE CLEMENTE PAZ,02013
020032400,JORGE ANGEL BOERO,02012
020032500,DOMINGUITO,02012
020032800,ISLAS MALVINAS,02009
020032900,INTENDENTE ALVEAR,02005
020033000,VICENTE LOPEZ Y PLANES,02009
020033100,INSTITUTO LEOPOLDO MARECHAL,02009
020033300,PRIMERA MINISTRO INDIRA GANDHI,02013
020033400,ESCUELA PARROQUIAL SANTA ELISA,02004
020033500,INSTITUTO AMBROSIO TOGNONI,02014
020033600,JIN C DE 09 (ESC. PRIM. N° 20 DE 09),02014
020033601,JIN C DE 09 (ESC. PRIM. N° 23 DE 09),02014
020033602,JIN C DE 09 (ESC. PRIM. N° 01 DE 09),02014
020034100,IRLANDA,02012
020034200,JIC Nº 01 PABLO NERUDA DE 17,02010
020034400,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°10DE11),02007
020034401,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°09DE11),02007
020034402,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°08DE11),02007
020034403,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°05DE11),02007
020034900,BELISARIO ROLDAN,02012
020035000,ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16,02012
020035100,GRAL MAXIMO DE ZAMUDIO,02011
020035200,ENRIQUE DE VEDIA,02015
020035300,EI Nº 02 DE 14 (HOSP. TORNU),02015
020035400,INSTITUTO SAN MIGUEL,02002
020035500,ESCUELA ARCO IRIS,02002
020035600,INSTITUTO DE ESTUDIOS SUPERIORES DE BUENOS AIRES,02002
020035800,CAP. DE FRAGATA CARLOS MARIA MOYANO,02013
020036100,INSTITUTO DE TIEMPO LIBRE Y RECREACION,02002
020036200,PONCIANO VIVANCO,02008
020036300,REPUBLICA DE NICARAGUA,02012
020036400,ESC. DE COM. Nº 16 GABRIELA MISTRAL DE 07,02015
020036600,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON,02006
020036601,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON,02008
020036800,ESCUELA DEL PARQUE,02006
020037000,ESCUELA DEL SIGLO NUEVO,02015
020037200,IFTS Nº 16 DE 18,02010
020037900,JIC Nº 03 LA PORTENA DE 07,02006
020038000,TOMAS SANTA COLOMA,02007
020038100,JIC N° 02 DE 13,02008
020038200,JIC N° 03 DE 08,02007
020038300,COLEGIO Nº 16 GUILLERMO RAWSON DE 15,02012
020038600,PROVINCIA DE JUJUY,02005
020038700,INSTITUTO SANTA MARIA DE LOS ANGELES,02012
020039800,ESCUELA INTEGRAL MAIMONIDES,02007
020039900,QUINTINO BOCAYUVA,02011
020040000,MUSEO DE BELLAS ARTES GRAL URQUIZA,02007
020040100,LICEO Nº 09 SANTIAGO DERQUI DE 10,02013
020040200,INSTITUTO BENITO NAZAR,02005
020040300,ESCUELA PARA EL HOMBRE NUEVO,02007
020040400,ROSARIO VERA PEÑALOZA,02005
020040700,INSTITUTO ARCANGEL SAN MIGUEL,02003
020041000,GERVASIO POSADAS,02003
020041100,INSTITUTO SAN ANTONIO DE PADUA,02004
020041200,INSTITUTO DON ORIONE,02003
020041300,ERNESTO A. BAVIO,02010
020041400,ESC. DE EDUC. MEDIA Nº 05 HEROES DE MALVINAS DE 10,02013
020041500,INSTITUTO INCORPORADO PATROCINIO DE SAN JOSE,02013
020041700,PADRE CASTAÑEDA,02010
020041800,DR ADOLFO SALDIAS,02004
020041900,FLORENCIO VARELA,02007
020042000,INSTITUTO CASA DE JESUS,02005
020042100,ESTEBAN ECHEVERRIA,02013
020042200,INSTITUTO FEDERICO GUILLERMO FRÖEBEL,02004
020042400,IFTS Nº 17 DE 01,02001
020042500,INSTITUTO ISABEL CONDE DE HERNANDEZ,02003
020042600,JIC N° 03 DE 19,02008
020042700,JII N° 02 JUAN M. COGHLAN DE 15,02012
020042800,CENTRO EDUCATIVO BUENOS AIRES,02011
020043300,GASPAR LUCILO BENAVENTO,02008
020043700,INSTITUTO HOGAR SAN BENITO,02014
020043800,DR GUILLERMO CORREA,02003
020043900,JII N° 01 JOSE FRANCISCO DE SAN MARTIN DE 06,02003
020044000,COLEGIO DEL TREBOL,02011
020044100,ENRIQUE BANCHS,02004
020044200,JIC Nº 05 DE 06,02004
020044400,JIN D DE 11 SIN FRONTERAS (ESC.PRIM. Nº 15 DE 11),02007
020044401,JIN D DE 11 SIN FRONTERAS (ESC.PRIM. Nº 07 DE 11),02007
020044402,JIN D DE 11 SIN FRONTERAS (ESC.PRIM. Nº 13 DE 11),02007
020044600,INSTITUTO AMERICA DEL SUR,02005
020044700,GABRIELA MISTRAL,02011
020045100,IFTS Nº 20 HEROES DE MALVINAS DE 09,02015
020045500,ESC.INTEGRAL RABINO ELIAS SULI,02004
020045600,CELIA MARTINEZ DE VARELA,02001
020045700,INST.SAN FRANCISCO,02001
020045800,IFTS Nº 19 DE 06,02005
020046000,INSTITUTO  GRAL. SAN MARTIN,02013
020046100,CORONEL BRANDSEN,02013
020046200,PREFECTURA NAVAL ARGENTINA,02010
020046300,GREGORIA MATORRAS Y DEL SER DE SAN MARTIN,02012
020046400,COLEGIO INTEGRAL CABALLITO,02006
020046700,JIN A DE 10 (ESC. PRIM. Nº 09 DE 10),02013
020046702,JIN A DE 10 (ESC. PRIM. Nº 10 DE 10),02013
020046703,JIN A DE 10 (ESC. PRIM. Nº 20 DE 10),02013
020046900,ESC. POLITECNICA MANUEL BELGRANO DE 04,02001
020047000,BERNARDO DE IRIGOYEN,02004
020047200,ESTADO PLURINACIONAL DE BOLIVIA,02004
020047300,SABINA BOVE DE BOZZALLA,02004
020047400,JOSE PEDRO VARELA,02004
020047600,LORENZO ANADON,02004
020047700,JIC N° 04 DE 05,02004
020047800,ESC. TEC. Nº 32 GRAL JOSE DE SAN MARTIN DE 14,02015
020047900,INSTITUTO SAN MARTIN DE TOURS,02014
020048100,DR. RAFAEL HERRERA VEGAS,02002
020048300,INSTITUTO PRIVADO COLEGIO BAYARD,02014
020048400,ARZOBISPO MARIANO ANTONIO ESPINOSA,02004
020048500,MIGUEL DE AZCUENAGA,02004
020048600,INSTITUTO NTA.SRA.DE GRACIA Y BUEN REMEDIO,02011
020048700,ESC.DE COM.Nº21 CAP.DE NAVIO HIPOLITO BOUCHARD DE11,02007
020048900,REPUBLICA DOMINICANA,02013
020049000,HERMINIA BRUMANA,02015
020049100,MAESTRO JORGE LUIS CHINETTI,02003
020049200,JIC Nº03 FRYDA SCHULTZ DE MANTOVANI DE 06,02003
020049300,INSTITUTO CAROLINA ESTRADA DE MARTINEZ,02015
020049400,ESC. DE COM. Nº 24 DALMACIO VELEZ SARSFIELD DE 14,02015
020049500,FRANCISCO BEIRO,02011
020049600,INSTITUTO SAN MAXILIMIANO KOLBE,02013
020049700,CARDENAL PACELLI,02012
020049900,ESC. TEC. Nº 31 MAESTRO QUINQUELA DE 04,02004
020050000,ESC. DE COM. Nº 07 MANUEL BELGRANO DE 10,02013
020050200,ESCUELA ARGENTINA GENERAL BELGRANO,02013
020050300,COLEGIO SAN JUAN EVANGELISTA,02004
020050400,HIPOLITO YRIGOYEN,02001
020050600,ESC. TEC. Nº 11 MANUEL BELGRANO DE 06,02003
020050800,INSTITUTO SANTA FELICITAS DE SAN VICENTE DE PAUL,02004
020050900,ESC. TEC. Nº 12 LIB. GRAL. SAN MARTIN DE 01,02001
020051100,COLEGIO INTERNACIONAL DE LAS ISLAS,02013
020051200,INSTITUTO SAN PIO X,02009
020051300,INST. SAN COSME Y SAN DAMIAN,02009
020051400,ARISTOBULO DEL VALLE,02009
020051600,GENERAL MARIANO ACHA,02015
020051800,ALTE. SEGUNDO R. STORNI,02015
020051900,RUBEN DARIO,02015
020052000,CARLOS DELLA PENNA,02004
020052100,INSTITUTO ZACCARIA,02004
020052300,REPUBLICA DE CHILE,02004
020052400,MARIANO MORENO,02003
020052500,INST  JOSEFA CAPDEVILLA DE GUTIERREZ,02001
020052600,ESCUELA DE MUSICA DE BS.AS,02013
020052700,INSTITUTO PRIVADO SAN BRENDANO,02013
020052800,HIPOLITO VIEYTES,02001
020053000,PROF. RODOLFO SENET,02013
020053100,ESC. DE ENFER. Y ESPEC. PARAM. DE LA CRUZ ROJA ARGENTINA,02013
020053200,BUENOS AIRES ENGLISH HIGH SCHOOL,02013
020053300,JOSE HERNANDEZ,02012
020053400,INSTITUTO MEKHITARISTA,02013
020053500,INSTITUTO ANUNCIACION DE MARIA,02013
020053600,ENS Nº 03 BERNARDINO RIVADAVIA DE 04,02001
020053601,ENS Nº 03 BERNARDINO RIVADAVIA DE13,02008
020053602,ENS N° 03 BERNARDINO RIVADAVIA DE 04,02001
020053900,ESC. CENTRAL DE ESP. PARAMEDICAS CRUZ ROJA ARGENT.,02005
020054000,ALMIRANTE GUILLERMO BROWN,02004
020054100,HOGAR DE LA INFANCIA DE LA BOCA,02004
020054200,JIC N° 02 CARLOS DELLA PENNA DE 04,02004
020054300,INSTITUTO PRIVADO SIMON BOLIVAR,02001
020054400,DR LUIS AGOTE,02015
020054500,INSTITUTO RESURRECCION DEL SEÑOR,02015
020054600,CARMEN CATREN DE MENDEZ CASARIEGO,02015
020055400,JIN D DE 13 (ESC. PRIM. Nº 01 DE 13),02010
020055401,JIN D DE 13 (ESC. PRIM. Nº 06 DE 13),02010
020055402,JIN D DE 13 (ESC. PRIM. Nº 07 DE 13),02010
020055403,JIN D DE 13 (ESC. PRIM. Nº 21 DE 13),02009
020055404,JIN D DE 13 (ESC. PRIM. Nº 24 DE 13),02009
020055500,INST. HOGAR DE NIÑOS RAMON L. FALCON,02003
020055600,DRA. ELVIRA RAWSON DE DELLEPIANE,02009
020055700,PROF. JOSE ONAINDIA,02010
020055800,PABLO A. PIZZURNO,02013
020055900,EI Nº 06 MADRE EUFRASIA IACONIS DE 10,02013
020056000,INSTITUTO NTRA.SRA.DEL CARMEN,02012
020056100,INSTITUTO PRIVADO JESUS MARIA,02001
020056200,INSTITUTO SAN MARON,02001
020056300,ESC. DE COM. Nº 2 DR. ANTONIO BERMEJO DE 01,02003
020056400,INSTITUTO  A.B.M.,02001
020056500,INSTITUTO COLEGIO DE NUESTRA SEÑORA,02001
020056600,IGNACIO FERMIN RODRIGUEZ,02004
020056700,JOSE ENRIQUE RODO,02007
020056800,INSTITUTO INDUSTRIAL LUIS A.HUERGO,02001
020057000,SOLDADO DE MALVINAS,02008
020057100,INSTITUTO DON ORIONE,02008
020057200,INSTITUTO PADRE LUIS M. ETCHEVERRY BONEO,02002
020057500,INSTITUTO EDUCACIONAL SANTA TERESITA,02015
020057800,CORNELIO SAAVEDRA,02003
020057900,ASOCIACION ESCUELA CANGALLO,02003
020058000,JIN B DE 01 (ESC. PRIM. N° 14 DE 1),02003
020058001,JIN B DE 01 (ESC. PRIM. N° 10 DE 1),02003
020058100,ALFREDO RODOLFO BUFANO,02015
020058200,PROVINCIA DEL NEUQUEN,02015
020058300,ESC. TEC. Nº 01 INGENIERO OTTO KRAUSE DE 04,02001
020058400,INST. DE ENSEÑANZA SUP EN LENGUAS VIVAS JUAN R.FERNANDEZ DE 01,02001
020058401,INST. DE ENSEÑANZA SUP EN LENGUAS VIVAS JUAN R.FERNANDEZ DE 19,02004
020058500,INSTITUTO AEQUALIS,02013
020058800,INST INCORPORADO RABINO JOSE CARO,02013
020058900,PROVINCIA DE SAN LUIS,02004
020059200,CASTO MUNITA,02013
020059300,CNEL MAYOR IGNACIO ALVAREZ THOMAS,02015
020059400,INST.EDUC.ARG.NTRA.SRA.DE LUJAN,02012
020059500,JII Nº 01 QUINQUELA MARTIN DE 04,02004
020059600,AGUSTIN RAFAEL CAFFARENA,02004
020059800,CARMEN SONDA DE PANDOLFINI,02015
020059900,EJERCITO ARGENTINO,02012
020060000,INSTITUTO SAN VICENTE DE PAUL,02004
020060100,JOSE MARIA GUTIERREZ,02004
020060200,INST. INMACULADA CONCEPCION DE MARIA,02002
020060300,UNIVERSITAS ESTUDIOS SUPERIORES,02003
020060500,INSTITUTO CORAZON DE JESUS,02003
020060600,JII N 10 DE 04,02004
020060700,DR. GUILLERMO RAWSON,02001
020061100,LICEO Nº 05 P. GUAGLIANOME DE 11,02007
020061200,ESC.TEC.Nº 05 MARIA DE LOS REMEDIOS DE ESCALADA DE SAN MARTIN DE 11,02007
020061300,INSTITUTO SARA CHAMBERLAIN DE ECCLESTON,02007
020061400,INSTITUTO DAMASA ZELAYA DE SAAVEDRA,02012
020061500,CONGRESO DE TUCUMAN,02015
020061600,INSTITUTO CASA VERDE,02007
020061700,JIN B DE 05 (ESC. PRIM. N° 06 DE 05),02001
020061701,JIN B DE 05 (ESC. PRIM. N° 04 DE 05),02001
020061703,JIN B DE 05 (ESC. PRIM. N°18 DE 05),02004
020061704,JIN B DE 05 (ESC. PRIM. N° 26 DE 05),02004
020061800,SAN JUAN BOSCO,02011
020061900,HELENA LARROQUE DE ROFFO,02012
020062000,INSTITUTO NUESTRA SEÑORA DEL BUEN CONSEJO,02004
020062100,JII Nº 02 ANTONIO ABERASTAIN DE 05,02004
020062200,ESC. TEC. Nº 28 REPUBLICA FRANCESA DE 10,02013
020062300,ESC. DE COM. Nº 01 JOAQUIN V. GONZALEZ DE 04,02004
020062400,INSTITUTO LEONARDO SWORN,02013
020062800,COLEGIO Nº 01 BERNARDINO RIVADAVIA DE  03,02001
020062900,AGUSTIN ALVAREZ,02001
020063000,JII N° 01 JUANITO LAGUNA DE 03,02001
020063100,DR. RICARDO GUTIERREZ,02001
020063200,INSTITUTO ROSA ANCHORENA DE IBAÑEZ,02001
020063300,INSTITUTO LA PROVIDENCIA,02001
020063500,CARLOS PELLEGRINI,02003
020063700,ESC. DE COM. Nº 12 JUAN XXIII DE 21,02008
020063800,CRISTOBAL COLON,02008
020063900,EI N° 05 HEBE SAN MARTIN DUPRAT DE 21,02008
020064100,INST. OBRA DE LA CONSER. DE LA FE Nº 5 FUND. MACNAB BERNAL,02008
020064200,ESCUELA PRIMARIA SEPTIEMBRE JARDINAR,02002
020064300,INSTITUTO INTEGRAL TALPIOT,02003
020064400,PRESIDENTE MANUEL QUINTANA,02003
020064500,BERNARDINO RIVADAVIA,02002
020064600,WENCESLAO POSSE,02014
020064700,JIC N° 03 DE 01,02014
020064800,C.Y F.PIZARRO Y M.PIZARRO Y MONJE,02002
020064900,ESC. DE COM. Nº 06 AMERICA DE 13,02008
020065000,COLEGIO DON BOSCO,02001
020065200,ESC. DE COM. Nº 05 JOSE DE SAN MARTIN DE 03,02003
020065300,COLEGIO BUENOS AIRES S.R.L,02015
020065400,MANUEL DE SARRATEA,02004
020065500,INSTITUTO MARIA AUXILIADORA,02005
020065600,DR ANTONIO BERMEJO,02005
020065800,INSTITUTO SAN FRANCISCO DE SALES,02005
020065900,BRIG. GRAL. JOSE M. ZAPIOLA,02003
020066000,SALVADOR MARIA DEL CARRIL,02005
020066100,MARTINA SILVA DE GURRUCHAGA,02005
020066200,MONTE CASTRO,02010
020066300,INSTITUTO SAN CAYETANO,02009
020066400,INSTITUTO SAN RAFAEL,02010
020066600,JIC N° 04 JOSE LIBERTELLA DE 21,02008
020066700,PROVINCIA DE TUCUMAN,02008
